order_id,order_date,delivery_date,product_id,product_name,brand,category,sale_price,gst,region,city,discount,product_rating
O100049,6/22/2023,6/24/2023,P006,Britannia Biscuits,ITC,Household,223.04,17.96,East,Bhubaneswar,2.51,4.5
O100050,10/26/2023,10/31/2023,P004,Surf Excel,ITC,Beverages,846.13,98.88,South,Chennai,128.33,2.8
O100051,3/26/2023,3/27/2023,P002,Maggi Noodles,ITC,Staples,443.43,75.22,East,Patna,36.81,3.8
O100052,6/30/2023,7/4/2023,P006,Britannia Biscuits,Dabur,Beverages,136.31,9.21,North,Delhi,27.15,3.6
O100053,1/17/2023,1/22/2023,P003,Amul Butter,ITC,Staples,141.27,21.91,East,Bhubaneswar,16.45,3.6
O100054,9/21/2023,9/25/2023,P004,Surf Excel,ITC,Beverages,961.37,142.05,East,Patna,78.23,5
O100055,9/11/2023,9/12/2023,P007,Dabur Chyawanprash,Dabur,Beverages,528.97,51.15,West,Mumbai,94.44,3.3
O100056,3/2/2023,3/7/2023,P008,Nestle Milkmaid,HUL,Beverages,230.28,15.4,North,Lucknow,37.42,4.3
O100057,11/30/2023,12/5/2023,P005,Patanjali Honey,Patanjali,Staples,325.42,21.19,North,Delhi,40.15,4.2
O100058,9/14/2023,9/15/2023,P002,Maggi Noodles,Dabur,Personal Care,147.34,15.15,West,Ahmedabad,10.89,4.4
O100059,11/7/2023,11/11/2023,P002,Maggi Noodles,Patanjali,Dairy,504.51,86.26,West,Mumbai,1.63,3.9
O100060,10/22/2023,10/26/2023,P003,Amul Butter,Britannia,Staples,54.04,7.36,West,Ahmedabad,0.92,4.3
O100061,9/8/2023,9/12/2023,P001,Tata Tea,Nestle,Household,769.67,89.78,South,Chennai,45.93,3.4
O100062,3/13/2023,3/17/2023,P006,Britannia Biscuits,Dabur,Dairy,424.06,21.94,North,Delhi,7.36,4.1
O100063,11/11/2023,11/16/2023,P006,Britannia Biscuits,HUL,Personal Care,241.13,23.34,East,Kolkata,17.78,2.6
O100064,8/16/2023,8/18/2023,P004,Surf Excel,HUL,Staples,986.06,165.35,South,Bangalore,100.64,3.4
O100065,2/18/2023,2/23/2023,P001,Tata Tea,Dabur,Staples,417.01,21.33,South,Hyderabad,45.08,4.1
O100066,3/21/2023,3/22/2023,P005,Patanjali Honey,ITC,Household,335.83,31.59,South,Chennai,25.95,2.6
O100067,4/14/2023,4/16/2023,P003,Amul Butter,Nestle,Personal Care,964.92,67.85,South,Hyderabad,115.13,2.5
O100068,6/10/2023,6/13/2023,P005,Patanjali Honey,Amul,Household,589.14,82.33,West,Mumbai,88.45,4.7
O100069,8/28/2023,8/29/2023,P002,Maggi Noodles,Nestle,Staples,878.27,140.84,East,Kolkata,41.34,4
O100070,1/11/2023,1/12/2023,P003,Amul Butter,Amul,Personal Care,738.85,69.31,South,Bangalore,42.2,4.3
O100071,4/25/2023,4/29/2023,P005,Patanjali Honey,Tata,Beverages,179.48,20.66,North,Lucknow,9.06,4.5
O100072,6/26/2023,7/1/2023,P002,Maggi Noodles,ITC,Dairy,420.81,48.4,North,Lucknow,81.52,5
O100073,9/2/2023,9/7/2023,P003,Amul Butter,Tata,Beverages,932.44,156.32,East,Kolkata,60.26,3.3
O100074,4/17/2023,4/18/2023,P004,Surf Excel,ITC,Personal Care,896.49,55.55,North,Chandigarh,141.28,3.3
O100075,2/21/2023,2/26/2023,P005,Patanjali Honey,Tata,Snacks,257.99,25.92,South,Bangalore,44.41,3.3
O100076,10/27/2023,10/28/2023,P001,Tata Tea,Britannia,Snacks,99.7,10.72,North,Delhi,19.13,3.3
O100077,10/3/2023,10/6/2023,P001,Tata Tea,Britannia,Beverages,390.27,63.29,North,Lucknow,7.16,3.4
O100078,1/2/2023,1/6/2023,P003,Amul Butter,Britannia,Staples,608.26,38.64,North,Chandigarh,29.45,2.9
O100079,4/7/2023,4/11/2023,P001,Tata Tea,HUL,Snacks,317.19,54.52,North,Delhi,55.69,2.8
O100080,9/12/2023,9/15/2023,P001,Tata Tea,Patanjali,Beverages,755.29,44.69,North,Delhi,122.15,3.8
O100081,7/17/2023,7/19/2023,P005,Patanjali Honey,ITC,Dairy,901.28,111.37,South,Chennai,86.28,3
O100082,8/30/2023,9/2/2023,P007,Dabur Chyawanprash,HUL,Staples,739.17,116.44,East,Kolkata,47.46,4.4
O100083,9/4/2023,9/6/2023,P002,Maggi Noodles,Dabur,Staples,591.29,83.59,East,Patna,1.14,2.8
O100084,9/20/2023,9/24/2023,P005,Patanjali Honey,Britannia,Household,494.3,45.96,East,Kolkata,38.04,3.1
O100085,10/1/2023,10/2/2023,P001,Tata Tea,Britannia,Personal Care,604.32,85.95,South,Hyderabad,50.26,5
O100086,2/6/2023,2/11/2023,P004,Surf Excel,Tata,Beverages,934.64,115.03,West,Ahmedabad,87.98,3.5
O100087,9/3/2023,9/7/2023,P007,Dabur Chyawanprash,Dabur,Personal Care,803.33,51.47,East,Patna,98.71,3
O100088,8/13/2023,8/16/2023,P007,Dabur Chyawanprash,Nestle,Snacks,634.11,60.18,North,Lucknow,21.92,4.6
O100089,7/22/2023,7/27/2023,P006,Britannia Biscuits,Nestle,Personal Care,764.6,78.69,West,Ahmedabad,63.33,5
O100090,4/26/2023,4/30/2023,P001,Tata Tea,Tata,Beverages,605.1,60.08,East,Patna,119.76,2.5
O100091,10/11/2023,10/12/2023,P001,Tata Tea,Amul,Beverages,746.6,101.45,East,Patna,127.08,3.8
O100092,3/22/2023,3/26/2023,P007,Dabur Chyawanprash,Tata,Beverages,223.59,28.43,South,Bangalore,37.94,3.3
O100093,4/7/2023,4/9/2023,P002,Maggi Noodles,Tata,Dairy,162.64,12.68,South,Chennai,19.91,2.6
O100094,6/26/2023,6/30/2023,P001,Tata Tea,Nestle,Dairy,858.54,44.49,East,Bhubaneswar,5.1,3.6
O100095,9/26/2023,10/1/2023,P002,Maggi Noodles,ITC,Household,415.85,31.68,South,Bangalore,5.2,2.8
O100096,11/21/2023,11/22/2023,P008,Nestle Milkmaid,Tata,Beverages,121.14,18.86,West,Mumbai,3.69,5
O100097,10/18/2023,10/22/2023,P007,Dabur Chyawanprash,ITC,Household,212.28,19.97,South,Bangalore,36.96,4.7
O100098,6/14/2023,6/15/2023,P003,Amul Butter,HUL,Beverages,649.96,98.36,East,Bhubaneswar,21.41,3.7
O100099,5/3/2023,5/6/2023,P007,Dabur Chyawanprash,Nestle,Snacks,120.72,13.06,West,Pune,23.91,3.2
O100100,12/21/2023,12/22/2023,P005,Patanjali Honey,Dabur,Dairy,804.6,92.13,South,Hyderabad,75.18,2.8
O100101,7/14/2023,7/16/2023,P007,Dabur Chyawanprash,Nestle,Dairy,206.88,20.21,West,Ahmedabad,1.91,4.4
O100102,8/15/2023,8/17/2023,P008,Nestle Milkmaid,Britannia,Household,529.49,60.96,North,Chandigarh,80.2,2.9
O100103,4/14/2023,4/15/2023,P002,Maggi Noodles,Dabur,Household,241.83,16.22,West,Mumbai,8.24,4.4
O100104,8/17/2023,8/19/2023,P001,Tata Tea,Dabur,Snacks,570.5,49.53,North,Chandigarh,55,4.9
O100105,7/27/2023,8/1/2023,P002,Maggi Noodles,Dabur,Snacks,241.6,39.49,West,Mumbai,42.34,4.9
O100106,9/28/2023,9/29/2023,P004,Surf Excel,Amul,Dairy,128.8,11.51,East,Bhubaneswar,24.95,4.8
O100107,12/16/2023,12/17/2023,P004,Surf Excel,Nestle,Dairy,919.17,82.85,South,Bangalore,58.62,5
O100108,12/4/2023,12/5/2023,P005,Patanjali Honey,ITC,Staples,386.59,33.43,South,Chennai,20.89,3
O100109,8/3/2023,8/6/2023,P002,Maggi Noodles,Dabur,Snacks,550.59,59.63,North,Delhi,62.34,4.2
O100110,12/16/2023,12/18/2023,P002,Maggi Noodles,HUL,Personal Care,243.65,30.67,West,Pune,40.45,2.6
O100111,9/16/2023,9/17/2023,P005,Patanjali Honey,Nestle,Staples,415.25,53.91,North,Delhi,16.79,2.7
O100112,8/17/2023,8/19/2023,P004,Surf Excel,HUL,Personal Care,533.3,71.73,North,Chandigarh,101.77,2.7
O100113,12/30/2023,1/3/2024,P005,Patanjali Honey,ITC,Staples,655.67,46.06,South,Bangalore,69.25,2.8
O100114,9/28/2023,10/3/2023,P006,Britannia Biscuits,Patanjali,Beverages,984.26,153.54,West,Mumbai,167.45,3.4
O100115,8/23/2023,8/26/2023,P002,Maggi Noodles,ITC,Staples,987.24,99.82,East,Bhubaneswar,115.14,3.4
O100116,9/14/2023,9/17/2023,P001,Tata Tea,Nestle,Snacks,664,110.99,East,Kolkata,19.92,3.5
O100117,5/8/2023,5/12/2023,P003,Amul Butter,Dabur,Snacks,588.75,100.43,South,Hyderabad,18.12,3
O100118,4/28/2023,4/30/2023,P008,Nestle Milkmaid,HUL,Personal Care,57.53,3,West,Pune,4.46,4.6
O100119,9/23/2023,9/28/2023,P005,Patanjali Honey,Dabur,Beverages,351.14,58.16,East,Bhubaneswar,50.14,3.9
O100120,9/13/2023,9/17/2023,P006,Britannia Biscuits,Britannia,Snacks,968.18,103.41,East,Patna,147.63,3.6
O100121,12/4/2023,12/7/2023,P007,Dabur Chyawanprash,Amul,Snacks,168.5,25.29,East,Bhubaneswar,26.64,4
O100122,3/12/2023,3/17/2023,P006,Britannia Biscuits,Amul,Snacks,88.94,4.8,South,Chennai,8.14,2.8
O100123,9/25/2023,9/29/2023,P001,Tata Tea,HUL,Personal Care,932.32,151.82,West,Mumbai,6.16,4
O100124,10/1/2023,10/2/2023,P004,Surf Excel,Nestle,Beverages,729.1,59.16,North,Chandigarh,134.97,3.4
O100125,6/10/2023,6/15/2023,P001,Tata Tea,Tata,Staples,543.25,87.42,South,Bangalore,48.73,3.1
O100126,11/21/2023,11/24/2023,P006,Britannia Biscuits,Britannia,Household,787.12,123.88,West,Ahmedabad,128.56,3.4
O100127,8/22/2023,8/25/2023,P007,Dabur Chyawanprash,Amul,Household,79.27,10.09,South,Bangalore,13.14,4
O100128,4/27/2023,4/30/2023,P004,Surf Excel,Tata,Dairy,136.9,15.15,East,Kolkata,6.97,3.8
O100129,12/14/2023,12/19/2023,P005,Patanjali Honey,Britannia,Snacks,361.64,60.18,North,Delhi,51.56,3.4
O100130,2/11/2023,2/12/2023,P008,Nestle Milkmaid,Dabur,Staples,243.32,32.44,West,Mumbai,37.87,3.6
O100131,1/8/2023,1/13/2023,P004,Surf Excel,Britannia,Household,282.04,49.62,South,Chennai,10.05,4.3
O100132,8/10/2023,8/13/2023,P005,Patanjali Honey,Patanjali,Beverages,433.97,61.31,South,Hyderabad,78.39,4
O100133,5/29/2023,6/1/2023,P006,Britannia Biscuits,Nestle,Beverages,185.94,23.96,East,Patna,37.03,4.9
O100134,4/25/2023,4/28/2023,P002,Maggi Noodles,Dabur,Snacks,825.69,67.64,North,Lucknow,157.47,4.2
O100135,10/22/2023,10/27/2023,P002,Maggi Noodles,Nestle,Dairy,909.71,162.56,South,Bangalore,153.31,4.5
O100136,6/2/2023,6/5/2023,P001,Tata Tea,ITC,Personal Care,783.24,52.3,South,Chennai,6.43,2.9
O100137,2/24/2023,2/28/2023,P003,Amul Butter,HUL,Household,475.51,67.48,North,Lucknow,81.4,2.7
O100138,11/27/2023,11/28/2023,P005,Patanjali Honey,Tata,Dairy,959.85,50.21,North,Delhi,147.35,3.1
O100139,2/28/2023,3/1/2023,P005,Patanjali Honey,Tata,Personal Care,421.17,69.85,West,Mumbai,25.31,3.9
O100140,12/26/2023,12/29/2023,P006,Britannia Biscuits,Patanjali,Beverages,565.13,30.11,South,Hyderabad,94.7,4.3
O100141,4/24/2023,4/26/2023,P007,Dabur Chyawanprash,Nestle,Beverages,863.07,129.45,North,Chandigarh,92.29,3.3
O100142,9/19/2023,9/23/2023,P007,Dabur Chyawanprash,Nestle,Household,558.03,35.88,West,Mumbai,3.99,3
O100143,12/22/2023,12/25/2023,P005,Patanjali Honey,ITC,Household,998.76,99.37,West,Mumbai,110.14,3.9
O100144,2/14/2023,2/16/2023,P002,Maggi Noodles,Dabur,Staples,878.31,107.75,North,Delhi,43.65,4
O100145,4/16/2023,4/19/2023,P002,Maggi Noodles,Tata,Household,948.37,159.43,South,Hyderabad,20.72,3
O100146,2/8/2023,2/12/2023,P008,Nestle Milkmaid,Britannia,Beverages,771.29,113.1,East,Kolkata,128.73,4.5
O100147,1/31/2023,2/3/2023,P001,Tata Tea,HUL,Staples,910.1,54.35,South,Hyderabad,23.17,4.4
O100148,1/15/2023,1/18/2023,P006,Britannia Biscuits,Nestle,Beverages,58.66,4.16,South,Chennai,2.78,3.2
O100149,1/24/2023,1/27/2023,P005,Patanjali Honey,Dabur,Beverages,885.66,140.09,East,Patna,62.21,3.1
O100150,3/3/2023,3/7/2023,P005,Patanjali Honey,Dabur,Snacks,387.66,48.32,West,Pune,13.11,2.9
O100151,5/15/2023,5/17/2023,P008,Nestle Milkmaid,Britannia,Snacks,533.48,94.81,West,Ahmedabad,37.53,4.8
O100152,10/7/2023,10/8/2023,P002,Maggi Noodles,Tata,Dairy,294.68,28.24,South,Chennai,23.98,3.6
O100153,2/4/2023,2/8/2023,P002,Maggi Noodles,Tata,Snacks,985.58,136.21,South,Chennai,185.64,4.3
O100154,5/30/2023,5/31/2023,P001,Tata Tea,Patanjali,Personal Care,346.15,35.06,East,Bhubaneswar,25.48,4.7
O100155,6/29/2023,7/1/2023,P001,Tata Tea,Nestle,Snacks,193.32,21.77,West,Pune,29.8,3.5
O100156,9/16/2023,9/17/2023,P006,Britannia Biscuits,Tata,Beverages,395.63,46.65,South,Chennai,54.03,4.4
O100157,11/27/2023,11/30/2023,P007,Dabur Chyawanprash,Tata,Dairy,578.48,75.76,South,Chennai,91.22,3.4
O100158,4/28/2023,4/30/2023,P003,Amul Butter,Britannia,Personal Care,374.65,47.51,North,Lucknow,40.77,3.7
O100159,4/20/2023,4/22/2023,P008,Nestle Milkmaid,Tata,Beverages,530.73,59.53,West,Mumbai,5.47,2.9
O100160,6/3/2023,6/6/2023,P005,Patanjali Honey,Amul,Dairy,702.98,42.04,East,Kolkata,88.65,3.2
O100161,4/12/2023,4/14/2023,P001,Tata Tea,Britannia,Personal Care,619.85,35.48,South,Bangalore,98.61,4.4
O100162,9/10/2023,9/15/2023,P002,Maggi Noodles,Amul,Dairy,207.74,17.27,East,Patna,17.64,2.8
O100163,5/20/2023,5/21/2023,P007,Dabur Chyawanprash,Tata,Staples,837.24,113.52,South,Hyderabad,101.51,3.1
O100164,7/26/2023,7/28/2023,P005,Patanjali Honey,Amul,Staples,144.44,18.35,West,Ahmedabad,0.38,5
O100165,9/4/2023,9/6/2023,P008,Nestle Milkmaid,Amul,Beverages,158.09,12.38,North,Delhi,29.46,3.5
O100166,12/2/2023,12/3/2023,P006,Britannia Biscuits,Tata,Dairy,991.66,153.8,North,Delhi,189.06,3.7
O100167,10/28/2023,10/30/2023,P004,Surf Excel,Amul,Personal Care,570.7,64.47,East,Kolkata,80.57,4.1
O100168,12/30/2023,1/2/2024,P007,Dabur Chyawanprash,Dabur,Dairy,128.1,11.69,West,Mumbai,23.18,4.1
O100169,3/29/2023,3/31/2023,P004,Surf Excel,Britannia,Personal Care,961.2,122.47,South,Chennai,64.91,4.9
O100170,2/25/2023,2/28/2023,P001,Tata Tea,Patanjali,Household,127.8,10.48,West,Ahmedabad,10.63,3.6
O100171,2/11/2023,2/14/2023,P005,Patanjali Honey,Dabur,Beverages,768.46,102.24,East,Patna,152.38,3.6
O100172,10/27/2023,10/29/2023,P001,Tata Tea,HUL,Staples,581.64,50.75,East,Bhubaneswar,106.15,4.1
O100173,8/13/2023,8/18/2023,P001,Tata Tea,HUL,Household,678.62,42.11,West,Ahmedabad,9.16,4.9
O100174,4/28/2023,5/2/2023,P008,Nestle Milkmaid,Tata,Personal Care,371.72,29.69,South,Bangalore,24.53,4.7
O100175,12/29/2023,1/3/2024,P008,Nestle Milkmaid,Britannia,Personal Care,870.52,111.97,West,Pune,100.4,3.7
O100176,1/14/2023,1/17/2023,P005,Patanjali Honey,Dabur,Household,312.17,34.79,East,Bhubaneswar,18.19,4.2
O100177,6/9/2023,6/10/2023,P002,Maggi Noodles,Dabur,Snacks,189.09,15.45,South,Chennai,36.05,3.3
O100178,5/16/2023,5/19/2023,P008,Nestle Milkmaid,Nestle,Dairy,238.31,14.06,North,Chandigarh,14.27,3.1
O100179,9/16/2023,9/21/2023,P008,Nestle Milkmaid,Nestle,Personal Care,924.67,136.03,South,Chennai,93.9,2.8
O100180,1/24/2023,1/29/2023,P004,Surf Excel,Dabur,Personal Care,522.08,45.98,South,Chennai,71.65,4.6
O100181,12/19/2023,12/23/2023,P007,Dabur Chyawanprash,HUL,Personal Care,958.65,102.8,North,Chandigarh,34.44,4.1
O100182,9/29/2023,9/30/2023,P008,Nestle Milkmaid,HUL,Household,50.97,2.79,West,Ahmedabad,8.56,3.1
O100183,4/27/2023,4/30/2023,P005,Patanjali Honey,Britannia,Beverages,263.27,37.48,South,Hyderabad,15.87,4.1
O100184,8/4/2023,8/5/2023,P008,Nestle Milkmaid,Nestle,Beverages,173.69,11.58,East,Bhubaneswar,8.58,4.2
O100185,1/18/2023,1/19/2023,P005,Patanjali Honey,Britannia,Staples,381.06,63.23,East,Bhubaneswar,10.38,4.4
O100186,5/25/2023,5/30/2023,P002,Maggi Noodles,Tata,Personal Care,642.97,63.93,West,Mumbai,9.07,4.2
O100187,12/21/2023,12/26/2023,P007,Dabur Chyawanprash,Dabur,Beverages,529.97,43.69,East,Kolkata,17.21,2.6
O100188,10/12/2023,10/17/2023,P004,Surf Excel,Nestle,Snacks,964,70.85,West,Pune,144.19,2.6
O100189,4/27/2023,4/30/2023,P005,Patanjali Honey,Dabur,Dairy,929.39,58.4,South,Chennai,90.65,3
O100190,4/23/2023,4/25/2023,P008,Nestle Milkmaid,Tata,Dairy,507.61,47.54,South,Hyderabad,62.2,3.7
O100191,6/6/2023,6/8/2023,P002,Maggi Noodles,Britannia,Personal Care,405.56,60.96,East,Patna,10.51,3.2
O100192,3/29/2023,4/3/2023,P008,Nestle Milkmaid,Nestle,Dairy,87.01,5,East,Bhubaneswar,5.25,3.8
O100193,5/6/2023,5/11/2023,P006,Britannia Biscuits,Nestle,Beverages,185.69,26.26,South,Chennai,21.93,4.5
O100194,3/12/2023,3/17/2023,P007,Dabur Chyawanprash,Amul,Beverages,182.79,15.6,North,Chandigarh,0.18,4
O100195,10/17/2023,10/18/2023,P001,Tata Tea,Tata,Household,227.72,32.15,North,Delhi,6.68,4.7
O100196,1/5/2023,1/8/2023,P001,Tata Tea,Dabur,Staples,538.89,42.38,East,Bhubaneswar,19.6,4
O100197,3/30/2023,4/4/2023,P003,Amul Butter,Tata,Personal Care,219.08,16.1,East,Bhubaneswar,43.28,4.1
O100198,9/20/2023,9/24/2023,P002,Maggi Noodles,ITC,Household,589.63,38.99,North,Chandigarh,37.46,4.2
O100199,8/22/2023,8/26/2023,P005,Patanjali Honey,Britannia,Household,851.24,140.56,East,Patna,133.65,2.9
O100200,11/11/2023,11/15/2023,P003,Amul Butter,Dabur,Dairy,831.06,101.33,North,Chandigarh,22.49,4.2
O100201,12/25/2023,12/28/2023,P005,Patanjali Honey,Britannia,Personal Care,250.98,28.88,North,Delhi,31.36,4.6
O100202,1/17/2023,1/22/2023,P008,Nestle Milkmaid,Britannia,Personal Care,97.07,9.51,East,Bhubaneswar,2.56,4.8
O100203,10/10/2023,10/15/2023,P007,Dabur Chyawanprash,HUL,Staples,598.39,98.02,East,Kolkata,4.64,3.7
O100204,4/11/2023,4/14/2023,P001,Tata Tea,Dabur,Personal Care,186,9.96,West,Mumbai,19.35,4.5
O100205,5/20/2023,5/22/2023,P006,Britannia Biscuits,Amul,Personal Care,422.1,41.1,West,Ahmedabad,59.6,4
O100206,3/11/2023,3/13/2023,P005,Patanjali Honey,Patanjali,Dairy,774.39,114.91,South,Hyderabad,94.25,4.6
O100207,10/22/2023,10/25/2023,P003,Amul Butter,Tata,Staples,445.7,30.15,West,Mumbai,79.35,3.2
O100208,5/21/2023,5/22/2023,P004,Surf Excel,Amul,Personal Care,233.99,27,East,Bhubaneswar,23.21,3.2
O100209,6/12/2023,6/14/2023,P002,Maggi Noodles,HUL,Snacks,496.63,46.39,South,Hyderabad,54.98,3.9
O100210,2/18/2023,2/20/2023,P006,Britannia Biscuits,Tata,Snacks,542.14,63.4,East,Patna,35.02,4.7
O100211,12/1/2023,12/3/2023,P005,Patanjali Honey,Nestle,Personal Care,364.46,20.2,North,Delhi,28.56,3.8
O100212,11/27/2023,11/29/2023,P001,Tata Tea,Amul,Household,887.91,157.55,West,Mumbai,135.63,5
O100213,12/29/2023,1/3/2024,P005,Patanjali Honey,Patanjali,Snacks,721.42,120.01,South,Bangalore,57.17,4.8
O100214,8/26/2023,8/30/2023,P004,Surf Excel,ITC,Staples,620.14,80.72,West,Mumbai,50.48,3.2
O100215,10/17/2023,10/20/2023,P004,Surf Excel,Nestle,Beverages,345.54,24.93,South,Bangalore,21.54,3
O100216,5/29/2023,6/2/2023,P007,Dabur Chyawanprash,Britannia,Staples,728.47,101.7,West,Mumbai,129.63,4.9
O100217,9/11/2023,9/13/2023,P008,Nestle Milkmaid,Nestle,Staples,974.24,101.55,South,Chennai,145.89,4.8
O100218,3/19/2023,3/23/2023,P003,Amul Butter,Tata,Beverages,812.33,126.16,South,Chennai,7.75,2.7
O100219,8/4/2023,8/7/2023,P008,Nestle Milkmaid,Amul,Staples,410.85,65.19,East,Bhubaneswar,40.3,4.7
